date,ticker,open,high,low,close,label,sessions_num
2021-02-26,GMD,32400.0,33950.0,32400.0,33500.0,0,0
2021-03-01,GMD,34000.0,34500.0,33800.0,34350.0,0,0
2021-03-02,GMD,34500.0,34500.0,33700.0,34000.0,0,0
2021-03-03,GMD,34150.0,34150.0,33500.0,33600.0,0,0
2021-03-04,GMD,33600.0,34100.0,31800.0,32300.0,0,0
2021-03-05,GMD,32100.0,32700.0,31000.0,32700.0,0,0
2021-03-08,GMD,33150.0,33200.0,31850.0,32150.0,0,0
2021-03-09,GMD,31900.0,31950.0,31100.0,31700.0,0,0
2021-03-10,GMD,31700.0,32200.0,31200.0,32100.0,0,0
2021-03-11,GMD,32100.0,32700.0,32000.0,32200.0,0,0
2021-03-12,GMD,32400.0,32400.0,31800.0,32000.0,0,0
2021-03-15,GMD,32000.0,32600.0,31800.0,31950.0,0,0
2021-03-16,GMD,32000.0,32900.0,31800.0,32800.0,0,0
2021-03-17,GMD,32800.0,33450.0,32800.0,33350.0,0,0
2021-03-18,GMD,33600.0,33700.0,33000.0,33200.0,0,0
2021-03-19,GMD,33000.0,33200.0,32650.0,32950.0,0,0
2021-03-22,GMD,33800.0,34900.0,33700.0,34600.0,0,0
2021-03-23,GMD,34600.0,34700.0,33400.0,34200.0,0,0
2021-03-24,GMD,33400.0,34000.0,32600.0,33200.0,0,0
2021-03-25,GMD,33200.0,33400.0,32400.0,33000.0,0,0
2021-03-26,GMD,32500.0,32800.0,31300.0,32500.0,0,0
2021-03-29,GMD,32900.0,33000.0,32600.0,33000.0,0,0
2021-03-30,GMD,33000.0,34300.0,32800.0,33850.0,0,0
2021-03-31,GMD,33850.0,34500.0,33700.0,33850.0,0,0
2021-04-01,GMD,33850.0,34750.0,33600.0,34650.0,0,0
2021-04-02,GMD,35300.0,35300.0,34400.0,34800.0,0,0
2021-04-05,GMD,34800.0,34900.0,34050.0,34450.0,0,0
2021-04-06,GMD,34000.0,34450.0,33950.0,34400.0,0,0
2021-04-07,GMD,34200.0,36200.0,34200.0,35850.0,0,0
2021-04-08,GMD,35950.0,36000.0,35100.0,35300.0,0,0
2021-04-09,GMD,35000.0,36400.0,34800.0,35700.0,0,0
2021-04-12,GMD,35800.0,35900.0,35250.0,35700.0,0,0
2021-04-13,GMD,35900.0,36000.0,34800.0,34900.0,0,0
2021-04-14,GMD,34200.0,34800.0,34100.0,34600.0,0,0
2021-04-15,GMD,34600.0,36000.0,33600.0,34250.0,0,0
2021-04-16,GMD,34100.0,34650.0,32700.0,33500.0,0,0
